Subjects,Triples,mps,Kafka_in,Kafka_out,End_time
3,6,100,1755172709229,1755172709231.406,1755172709232.0571
3,6,100,1755172709242,1755172709244.565,1755172709245.2449
3,6,100,1755172709255,1755172709257.452,1755172709258.073
3,6,100,1755172709268,1755172709270.606,1755172709271.303
3,6,100,1755172709282,1755172709283.951,1755172709284.559
3,6,100,1755172709295,1755172709297.106,1755172709297.7888
3,6,100,1755172709309,1755172709312.35,1755172709313.1267
3,6,100,1755172709324,1755172709326.019,1755172709326.486
3,6,100,1755172709337,1755172709339.947,1755172709340.613
3,6,100,1755172709349,1755172709351.1062,1755172709351.757
3,6,100,1755172709362,1755172709364.079,1755172709364.914
3,6,100,1755172709375,1755172709378.262,1755172709379.1091
3,6,100,1755172709388,1755172709390.198,1755172709390.923
3,6,100,1755172709400,1755172709402.5117,1755172709403.2239
3,6,100,1755172709412,1755172709414.8691,1755172709415.594
